14488875	1093500	1913625	1093500	0	729000	0	-1275750	1913625	0	-1275750	0	318937.5	0	-1275750	0	318937.5	0	729000	0	-1275750	820125	911250	1594687.5	0	364500	0	1275750	-546750	0	-364500	0	637875	0	-364500	0	182250	136687.5	0	-91125	0	22781.25	0	-91125	0	22781.25	0	-364500	0	182250	0	-364500	0	637875	0	364500	0	1275750	911250	1594687.5	0	-364500	0	-1275750	-546750	0	-364500	0	637875	0	364500	0	-182250	136687.5	0	-91125	0	22781.25	0	-91125	0	22781.25	0	364500	0	-182250	0	-364500	0	637875	0	-364500	0	-1275750
3.22090724e-11	-1.841694e-10	-8.926870300000001e-10	0	0	-1.34587844e-10	0	9.35425086e-10	0	0	4.72553746e-10	0	-2.81703244e-10	0	-2.22923905e-10	0	-1.08616102e-11	0	6.217262029999999e-11	0	1.68704061e-10	0	-4.25130262e-10	-1.67340208e-09	0	-1.29123158e-10	0	-1.43291637e-09	0	0	1.64924147e-10	0	-8.38618311e-10	0	2.08301411e-10	0	-2.85037047e-10	0	0	6.4650347e-11	0	-6.044934110000001e-11	0	2.28574693e-12	0	9.54616949e-12	0	5.69267387e-11	0	-8.16907389e-11	0	6.163426270000001e-11	0	-3.90151501e-10	0	-9.94130646e-11	0	-1.05272492e-09	9.29451725e-11	6.63902844e-11	0	-2.99161661e-11	0	2.43578969e-10	0	0	-3.5459788e-11	0	-8.9544438e-11	0	-2.45435193e-11	0	7.60653066e-11	0	0	1.26964207e-11	0	-2.13109262e-11	0	-4.62704338e-11	0	4.30746097e-11	0	1.09704525e-10	0	-7.12198816e-11	0	-1.39052085e-10	0	2.23384376e-10	0	-5.56271148e-11	0	-1.83452141e-10
1.281627915e-12	0	0	0	546750	0	1275750	0	0	1913625	0	-637875	0	-1913625	0	637875	0	-546750	0	-1275750	0	0	0	0	-820125	0	-637875	0	0	-273375	0	-637875	0	273375	0	-273375	0	0	136687.5	0	-45562.5	0	-136687.5	0	45562.5	0	-273375	0	273375	0	273375	0	637875	0	820125	0	637875	0	0	0	820125	0	637875	0	0	-273375	0	-637875	0	-273375	0	273375	0	0	136687.5	0	-45562.5	0	-136687.5	0	45562.5	0	273375	0	-273375	0	273375	0	637875	0	-820125	0	-637875	0
4829625	0	-1913625	364500	0	0	0	1275750	637875	0	0	0	-318937.5	0	0	0	-318937.5	0	0	0	1275750	273375	0	-1594687.5	0	0	0	-1275750	-182250	0	0	0	-637875	0	0	0	-182250	45562.5	0	0	0	-22781.25	0	0	0	-22781.25	0	0	0	-182250	0	0	0	-637875	0	0	0	-1275750	0	-1594687.5	0	0	0	1275750	-182250	0	0	0	-637875	0	0	0	182250	45562.5	0	0	0	-22781.25	0	0	0	-22781.25	0	0	0	182250	0	0	0	-637875	0	0	0	1275750
-2.89979134e-13	0	0	0	-1.16191838e-10	0	-7.7929842e-10	0	0	-3.63795684e-10	0	5.12787536e-10	0	-2.66401107e-10	0	7.24103469e-11	0	2.31247984e-12	0	1.16468759e-10	0	0	0	0	1.93324204e-10	0	6.08738981e-10	0	0	1.10163928e-10	0	7.587350040000001e-10	0	-8.78928397e-11	0	3.5787849e-10	0	0	-5.51648457e-11	0	7.62257633e-11	0	2.93882664e-13	0	-1.50757626e-11	0	1.48286462e-11	0	-1.1933753e-10	0	-4.55592822e-11	0	-3.76470917e-10	0	-1.14369952e-10	0	-4.51622036e-10	0	0	0	6.36174708e-11	0	-3.80433606e-11	0	0	-2.00238644e-12	0	4.2557724e-11	0	8.63776629e-13	0	-8.51240157e-11	0	0	5.57806197e-12	0	2.51546199e-11	0	-3.53425262e-11	0	4.28355078e-11	0	6.9885265e-11	0	-1.27702661e-10	0	3.95299144e-11	0	2.8258484e-10	0	-1.43237714e-10	0	-1.86799027e-10	0
4009500	-1093500	0	-1458000	0	-729000	0	0	-2551500	0	1275750	0	0	0	1275750	0	0	0	-729000	0	0	-1093500	-911250	0	0	-364500	0	0	729000	0	364500	0	0	0	364500	0	0	-182250	0	91125	0	0	0	91125	0	0	0	364500	0	0	0	364500	0	0	0	-364500	0	0	-911250	0	0	364500	0	0	729000	0	364500	0	0	0	-364500	0	0	-182250	0	91125	0	0	0	91125	0	0	0	-364500	0	0	0	364500	0	0	0	364500	0	0
4829625	0	-1913625	364500	0	0	0	1275750	637875	0	0	0	-318937.5	0	0	0	-318937.5	0	0	0	1275750	273375	0	-1594687.5	0	0	0	-1275750	-182250	0	0	0	-637875	0	0	0	-182250	45562.5	0	0	0	-22781.25	0	0	0	-22781.25	0	0	0	-182250	0	0	0	-637875	0	0	0	-1275750	0	-1594687.5	0	0	0	1275750	-182250	0	0	0	-637875	0	0	0	182250	45562.5	0	0	0	-22781.25	0	0	0	-22781.25	0	0	0	182250	0	0	0	-637875	0	0	0	1275750
-2.89979134e-13	0	0	0	-1.16191838e-10	0	-7.7929842e-10	0	0	-3.63795684e-10	0	5.12787536e-10	0	-2.66401107e-10	0	7.24103469e-11	0	2.31247984e-12	0	1.16468759e-10	0	0	0	0	1.93324204e-10	0	6.08738981e-10	0	0	1.10163928e-10	0	7.587350040000001e-10	0	-8.78928397e-11	0	3.5787849e-10	0	0	-5.51648457e-11	0	7.62257633e-11	0	2.93882664e-13	0	-1.50757626e-11	0	1.48286462e-11	0	-1.1933753e-10	0	-4.55592822e-11	0	-3.76470917e-10	0	-1.14369952e-10	0	-4.51622036e-10	0	0	0	6.36174708e-11	0	-3.80433606e-11	0	0	-2.00238644e-12	0	4.2557724e-11	0	8.63776629e-13	0	-8.51240157e-11	0	0	5.57806197e-12	0	2.51546199e-11	0	-3.53425262e-11	0	4.28355078e-11	0	6.9885265e-11	0	-1.27702661e-10	0	3.95299144e-11	0	2.8258484e-10	0	-1.43237714e-10	0	-1.86799027e-10	0
4009500	-1093500	0	-1458000	0	-729000	0	0	-2551500	0	1275750	0	0	0	1275750	0	0	0	-729000	0	0	-1093500	-911250	0	0	-364500	0	0	729000	0	364500	0	0	0	364500	0	0	-182250	0	91125	0	0	0	91125	0	0	0	364500	0	0	0	364500	0	0	0	-364500	0	0	-911250	0	0	364500	0	0	729000	0	364500	0	0	0	-364500	0	0	-182250	0	91125	0	0	0	91125	0	0	0	-364500	0	0	0	364500	0	0	0	364500	0	0
-4.064636055e-11	-8.77663358e-11	9.12052975e-10	0	0	-2.13341538e-10	0	-9.22764638e-10	0	0	4.86453816e-10	0	3.125885e-10	0	-2.05369292e-10	0	3.54752077e-11	0	-1.42669464e-11	0	-1.80472825e-10	0	-3.18535083e-10	1.63235333e-09	0	-1.52711442e-10	0	1.44887408e-09	0	0	2.03834636e-10	0	8.62239668e-10	0	2.06932278e-10	0	2.87414662e-10	0	0	6.652567220000001e-11	0	6.03641989e-11	0	1.2812259e-12	0	-5.98729067e-12	0	5.91972936e-11	0	8.3089836e-11	0	1.01225038e-10	0	3.90325854e-10	0	-1.1660146e-10	0	1.05338935e-09	2.2144149e-10	-9.63849418e-11	0	-1.16557666e-11	0	-2.1073771e-10	0	0	5.03241206e-13	0	8.49624956e-11	0	-2.34503613e-11	0	-9.02075861e-11	0	0	1.58901835e-11	0	2.31244686e-11	0	-4.3867984e-11	0	-4.12667741e-11	0	1.1231654e-10	0	6.65925421e-11	0	-1.06361004e-10	0	-2.14557568e-10	0	-7.53004048e-11	0	1.89201726e-10
-8.7788972e-13	0	0	0	182250	0	-1275750	0	0	637875	0	637875	0	-637875	0	-637875	0	-182250	0	1275750	0	0	0	0	-273375	0	637875	0	0	-91125	0	637875	0	91125	0	273375	0	0	45562.5	0	45562.5	0	-45562.5	0	-45562.5	0	-91125	0	-273375	0	91125	0	-637875	0	273375	0	-637875	0	0	0	273375	0	-637875	0	0	-91125	0	637875	0	-91125	0	-273375	0	0	45562.5	0	45562.5	0	-45562.5	0	-45562.5	0	91125	0	273375	0	91125	0	-637875	0	-273375	0	637875	0
14488875	-1093500	1913625	1093500	0	-729000	0	-1275750	1913625	0	1275750	0	318937.5	0	1275750	0	318937.5	0	-729000	0	-1275750	820125	-911250	1594687.5	0	-364500	0	1275750	-546750	0	364500	0	637875	0	364500	0	182250	136687.5	0	91125	0	22781.25	0	91125	0	22781.25	0	364500	0	182250	0	364500	0	637875	0	-364500	0	1275750	-911250	1594687.5	0	364500	0	-1275750	-546750	0	364500	0	637875	0	-364500	0	-182250	136687.5	0	91125	0	22781.25	0	91125	0	22781.25	0	-364500	0	-182250	0	364500	0	637875	0	364500	0	-1275750
8.31955445e-13	0	0	0	-1.97226662e-10	0	7.46066539e-10	0	0	-1.19693144e-09	0	-5.58820162e-10	0	-6.9971641e-10	0	-5.49031245e-12	0	-1.49507231e-10	0	-1.05720056e-10	0	0	0	0	5.65735991e-10	0	-6.08974489e-10	0	0	2.28026601e-10	0	-7.63227046e-10	0	-2.65998634e-10	0	-3.47649503e-10	0	0	-1.7068679e-10	0	-8.12720547e-11	0	8.01169803e-12	0	1.8418028e-11	0	4.16145413e-11	0	1.08073897e-10	0	-5.01969221e-11	0	3.76290577e-10	0	-3.38909925e-10	0	4.64011604e-10	0	0	0	1.99303592e-10	0	3.39014904e-11	0	0	-8.93486608e-11	0	-2.97030362e-11	0	6.56594108e-12	0	7.704470299999999e-11	0	0	1.50586853e-11	0	-2.94570934e-11	0	-1.07818844e-10	0	-4.31635832e-11	0	2.14543368e-10	0	1.3131791e-10	0	1.88309188e-10	0	-2.83202293e-10	0	-4.46904278e-10	0	1.51853023e-10	0
4009500	1093500	0	-1458000	0	729000	0	0	-2551500	0	-1275750	0	0	0	-1275750	0	0	0	729000	0	0	-1093500	911250	0	0	364500	0	0	729000	0	-364500	0	0	0	-364500	0	0	-182250	0	-91125	0	0	0	-91125	0	0	0	-364500	0	0	0	-364500	0	0	0	364500	0	0	911250	0	0	-364500	0	0	729000	0	-364500	0	0	0	364500	0	0	-182250	0	-91125	0	0	0	-91125	0	0	0	364500	0	0	0	-364500	0	0	0	-364500	0	0
-1.9397538e-13	0	0	0	182250	0	-1275750	0	0	637875	0	637875	0	-637875	0	-637875	0	-182250	0	1275750	0	0	0	0	-273375	0	637875	0	0	-91125	0	637875	0	91125	0	273375	0	0	45562.5	0	45562.5	0	-45562.5	0	-45562.5	0	-91125	0	-273375	0	91125	0	-637875	0	273375	0	-637875	0	0	0	273375	0	-637875	0	0	-91125	0	637875	0	-91125	0	-273375	0	0	45562.5	0	45562.5	0	-45562.5	0	-45562.5	0	91125	0	273375	0	91125	0	-637875	0	-273375	0	637875	0
